line_index,obscene_score,aave_text,sae_text
1728,0.9702,"If one more damn Mosquito bite me...... I know I'm Carmel and tasty looking, but I'm sure its some other fat ppl togo bite on wtf lol","If I get one more damn mosquito bite. I know I'm caramel colored and tasty looking, but I'm sure there is some other fat people togo bite on, what the fuck, I'm laughing"
1126,0.9702,Imma speak on this perp that work at Lowes once I'm donedoing this grown up shit...,I am going to speak to this person who works at Lowes once I am finishedwith my responsibilities
1041,0.9701,"Hairy pussy is not to be eaten, u can fuck it tho, don'tturn it down completely ""","Hairy vaginas are not meant to have cunnilingus preformed upon it. You can have sex with it though, don't turn it down completely"
229,0.9700,You fuck with me I fuck with you..I will never lie to you..gotts be honest with yaself that'swhat make it tha truth,"You fuck with me, I fuck with you. I will never lie to you. You got to be honest with yourself. That is what makes it that truth."
869,0.9699,I hate the words they replace curse words with in BET movies lol theshit doesn't make sense lol,I hate the words they replace curse words with in BET movies. It makes me laugh. Thatshit doesn’t make sense.
1008,0.9697,Excuse me miss but you need to stop being so damn sexy..... damn I forgot whatI was gone post lol,"Excuse me miss, but you need to stop being so damn sexy. Damn, I forgot whatI was going to post. Laugh out loud."
1332,0.9697,Eet yellow bone thank i call her honey mustard that damn lilwayne crazy as a bih,"Eat yellow bone. I think I call her Honey Mustard, that damn LilWayne, crazy as a bitch"
1118,0.9693,I hate u phathom degree having niggaz too! Why even speak on it? Shit I don't even knowwhere my degree is located!,I hate you white acting degree fellow African Americans.  Why even brag about it?  Shitwhere my degree is located
1063,0.9688,"People got 20/20 vision when it comes to YOUR problems, but be RayCharles to their own bullshit!""","People have 20/20 vision when it comes to you're problems, but they're as blind as RayCharles to their own bullshit"
620,0.9687,Bitch Calling Niggas There Brothers & Cousins After They G Her OutSmh!!! Shit Bitches Say Lmao,"The woman was calling those guys \""brothers\"" and \""cousins\"" after they gave her a date rape drug!I'm shaking my head in amazement.  Women say some crazy things.  I'm laughing so hard"
854,0.9687,stroll??? Ain't that the shit they use to write on back in the day??Naw I don't do that,"Walk?  Isn't that what they used to say years ago?No, I don't do that"
1076,0.9685,U have proved time and time again that you don't give a shit and you are too good to be over here so just saythe fuck where you st,You have proved time and time again that you do not give a shit and that you are too good to over here. So just saythe fuck where you are at.
948,0.9685,I Would Let AnyOne I Messed With Go For Her! She Assumed Me Of A lot OfShit That I Wasn't Doing,I would let anyone I dated confront her! She accused me of a lotof things I wasn't doin
1022,0.9682,"I got all these damn drugs inside me babyyy, They get me feelin likeI'm goin in a matrix","I have all these damn drugs inside me, baby. They have me feeling likeI'm going into a matrix"
1673,0.9681,If a bitch go to food stamp building and the security guard signsher in.. She's a whore,"If a bitch goes to the food stamp building, and the security guard signsher in... She's a whore"
1275,0.9677,Nothing more disappointing than having the feeling of major shits. Running to bathroom. Covering seat and nothing butloud ass gas comes out,There's nothing more disappointing than having the feeling to use the bathroom. Running to the bathroom. Covering the seat and having nothing butgas comes out
565,0.9676,Every real nigga know if you tryna fuck a girl.. You gon do what yougotta do to fuck her,"Every high quality man knows if you want to have sex with a girl, You are going to dowhatever it takes to have sex with her"
617,0.9673,naw fuck bama. Baylor need to lose and I don't know why Oregonis still even up there,"No, fuck Bama. Baylor needs to lose and I don’t know why Oregon is even still up there."
1986,0.9671,not JUST dunking...simply do shit EYE cant physically do. Running a 40yards in 5 secondsis NOT exciting to watch.,It's not just dunking. They simply do shit I can't physically do. Running a 40-yard dash in five secondsis not exciting to watch
733,0.9671,u guys r so CORNY! Ha get it. Cause the dogsnickname is.. Ahh fuck it.,You guys are so corny! Ha get it? Because the dog’s nickname is... Ahh fuck it
1050,0.9671,"and I know u see me & his daddy textin u u r wrong for tht shit I hope u r think in twice and I hope uknow wht u r doin,,,",I know you have seen me texting his dad. You are wrong for acting that way and I hope you will reconsider.I hope you know what you are doing
1778,0.9669,like i got alot of back& front thoo....he b wantin ah bitchdat look anorexic n ish,"I have a lot of weight on the back and front of my body, but he wants a bitchthat looks like she's anorexic and shit"
892,0.9669,"I don't really trust humans that much these days Hmm shit, fact of the matter is, i trust dogsmore than i trust humans","I don't really trust humans that much these days. Hmm. Shit. The fact of the matter is, I trust dogsmore than I trust humans"
273,0.9665,Why is it so hard to find a 34 D bra... I'm just too picky. Not trying to lookpoint when shits are perky,It is hard to find a 34D bra. I am selective. Not trying to lookwhen they are perky
118,0.9665,It's funny a watching niggas go thru problems like I do but it's not funny when I gothru shit fuck it tho,It is funny watching Negros go through problems like I do but it is not funny when I go  through shit. Fuck it though.
196,0.9662,"I can be a crazy bitch. I'll admit it. But I can alsobe the sweetest person, ever.",I can be a crazy bitch. I'll admit it. But I can alsobe the sweetest person ever.
7,0.9662,"Boy you can say anything you wanna I don't give a shit, noone else can have ya","You can say anything you want to, I don't care, noone else can have you"
432,0.9658,"I'm not gon be in the house all day.. even if I do be stuck in this bitch,Ima be in here with","I'm not going to be in the house all day. Even if I am stuck in here,I'm going to be in here wit"
240,0.9657,This weak ass shit over with. That's two down all that's left is the one who alwaysremains best in my book.,This weak shit is over with. That's two down and all that's left is the one who alwaysremains the best in my book.
431,0.9657,Fuck picnics (except niggaQ) Fuck Clubs (Maybe VirgoBash if the homies peace dat out) Just RedCups and my living room,Fuck picnics (except black man). Fuck clubs; maybe VirgoBash if the homies peace that out. Just redcups and my living room
308,0.9655,Mfs wana be like Trice whole time tho. Just Tryna switch her shit up a lilpeon ass lil Thot .,Those people want to stir up trouble all the time. I am just trying to mess with her a little bit. She thought differently
415,0.9636,Clearly this fuck my frat day...cuz lawd have mercy! Niggaz can't let me not beignant 07 during achievement week!,"Clearly my fraternity is having bad luck, because oh my goodness! People can't allow me to be ignorant during my achievement week"
320,0.9620,I hate when bitches in food service have a damn attitude. I should go back and curse thatmf out at captain Ds,I hate it when bitches in food service have a damn attitude. I should go back and curse that motherfucker out at Captain Ds.
154,0.9618,if everyone calmed down before making a decision a lot will be different...But to be fair a woman fussingis annoying as shit lol,If everyone calmed down before making a decision a lot will be different...but to be fair a woman carrying on is as annoying as shit. Laugh out loud.
421,0.9611,"I know I have hella big girl slander on twitter, but yall ain't een know dat my female BFF is a big girl...andon twitter so Fuck Yall",People are being rude to me on twitter saying I do not like big girls but my very best friend is a big girl. Please leave me alone
563,0.9611,I seen that bitch a handful of times how she know hoeI dress for real? Lls,"I have seen that bitch a handful of times. How does she know howI dress, for real? That's funny"
369,0.9605,I Don't Give A Fuck Get Rich Or Die Tryin I Got My Mind Made FrAnd What Girl U Talmbout,I do not give a fuck. Get rick or die trying. I have my mind made up for real.And what girl are you talking about
1037,0.9601,I ain't da prettiest nigga but damn bitch I juss said hello fuku mean its my job..,"I'm not the most handsome guy but damn, bitch, I just said hello. Fuck,you're mean. It's my job"
1598,0.9599,Pop pussy baby show them niggAHs you ain't scared in here. Shake them titties baby shoe then niggayou ain't scared in here,Girl is showing off her goods with no fear. Dont be afraid.
794,0.9593,Can't wait to get off...5 o'clock cmon me and my homie getting us sum good food and good drankand talk sum shit lol,"Can't wait to get off. 5 o'clock, come on. Me and my friend are going to get some good food and drinksand talk some shit. That's funny"
934,0.9591,My best friend mad at me bc I told her the truth about this bum ass nigga bitch its my place to tell you to throw hisass to the waste side!,My best friend is mad at me becaue I told her the truth about this bum ass nigger bitch its my place to tell you to throw his ass to the waste side
440,0.9590,just know Banks be on bullshit...which is why I just avoiddem for my financing needs...,"Just know that banks are full of it, which is why I simply avoidthem for my financing needs"
1226,0.9583,"Rip Antonio I miss you, that shit crazy how you left so soon,save me a spot ♡","Rest in peace, Antonio, I miss you. That stuff is crazy how you left so soon,save me a spot. "
1903,0.9575,"Now how this bih get mad when she the 1 catfished my mans"" that's what Isaid. I'm like this bitch","Now how did this bitch get mad, when she's the one who catfished my boyfriend? That's what I said. I'm like, can you believe this bitch"
374,0.9571,"My bed time is at 9:00pm but I go to sleep at 9:01pm ""Thug Life"" ⇨⇨⇨⇨⇨sikeeee . Fuckk a bedtime","My bed time is at 9:00 p.m., but I go to sleep at 9:01 p.m. That is Thug Life,just kidding. Fuck having a bed time."
681,0.9570,let me find out bitches on twitter talking shit bout something that happen last year. kill yourself hoe .,"Don’t let me find out that bitches on Twitter are trash talking about something which happened last year. Kill yourself, hoe."
1304,0.9569,"Got me like dam, where my homies Fuck it, it's jusme.. Can't hold me back","I'm telling myself, \""damn, where my friends fuck it, it's justme. Can't hold me back.\"
1038,0.9567,Lmfao...magnanimous. Nigga almost made me find a dictionary. I said fuck itand just used context clues,"Lmfao (Laughing my f***ing ass off)... Magnanimous, N**** almost made me find a dictionary. I said \""screw it\"",and just used context clues"
34,0.9566,So big Boi out here like fuck it Imma hop on all the tracks 3000 calls himself featuring onand give y'all the remix,"So, big boy is out here like “fuck it, I’m going to hop on all of the tracks 3000 says he is featured onand give you all the remix."
1187,0.9562,Idgaf wat a bitch or a nigga thank n fuck allat bstalkin kuz ya breff stank,I don't give a fuck what a bitch or a man think and fuck all that bullshittalking because your breath stink
289,0.9541,So you think its cute girls fussing over u LOL I'm to grown for the bull shit just no I played the games uplaying along time ago LOL,You believe cute girls are arguing over you. That's funny. I'm too mature for this foolishness. I played the games you are doing nowa long time ago. It's funny to me.
1319,0.9537,Over this designer talk on my time line....you buying that shit off of acrack head it's voided G.,I’m over this designer talk on my timeline..... you’re buying that shit off of a crackhead. It’s voided.
1201,0.9529,It kill me when hoe tryin play da Niggah job and da Relationship an her job at da same time ..lolno her Niggah a bitch,"I can't believe it when a whore's trying to handle the man's job and the relationship and her job at the same time. That's funny;no, her man's a bitch"
1408,0.9526,"This year ian gone be on that dum shi ,skippin class && shit,imma stay focused sothem grades a look right","This year I am not going to do that stupid stuff like skipping class, I'm going to stay focused so I can get good grades"
469,0.9516,"jus got a new bitch she niccceee""I miss you so much, I'll seeyou later "" fo sho",I have a new girlfriend who is so nice. I miss her so much.I'll see her soon for sure
147,0.9513,"I couldn't do shit but laugh...she was dead serious and smiled in my face like ""yeanigga u see it"" lol","I couldn't do anything by laugh...she was dead serious and smiled in my face like \""yeahman, you see it\"". It was funny."
902,0.9496,"Anthony ole Grizzly Bear Looking Ass Just Got Threw Hibernating Now Finna Eat The HseUp , Fucking Pig !","Anthony old grizzly bear-looking ass just got through hibernating, now fixing to eat the houseup, fucking pig"
108,0.9480,Ppl plates on the gram be lookin like some straight trashkeep that shit in house!!!,People's meals on instagram look like some real trash. Keep that shit in your house!
1316,0.9476,Fuk wit me wrong take me out my zone n ill nock the mutha fukin snow off of yo cone my niggas man itstank in this bitch mus,"If you fuck with me wrong, and take me out of my zone, I'll knock the motherfucking snow off of your cone, my pals. Man, itstinks in this bitch"
1866,0.9476,I hate an extra motherfucka. Change what I need changed and keep it moving stop askingall these irrelevant ass questions,"I hate an extra motherfucker. Change what I need changes, and keep it moving. Stop askingall these irrelevant ass questions"
140,0.9473,it doesn't work when u work everyday and dem bums sitting in ur hood watching YOURshit u worked hard for.,It doesn't work when you work everyday while those that aren't working are sitting around eyingthings you've worked hard for
780,0.9473,raven dat would ben yo last fight girl idk wat type of bitch u think i am butbby im far from scared,"Raven, that would have been your last fight. I don't know what type of bitch you think I am butbaby, I'm far from scared"
1648,0.9473,Lez ur a jerk ass! well u neva told me u read it...ubeen all redbone busy nshit!,"Lez, you're a jerk ass! Well, you never told me your read it. You'vebeen all Redbone busy and shit"
62,0.9468,bitch shutt yo clown ass uhpp im dnee tlkin if u gott sum 2 sayy.. Sayyit to my facee kk,"Bitch, shut your dumb ass up. I'm done talking. If you have something to say, sayit to my face, okay"
1549,0.9462,"I'm hiding in the grand canyon fuck it, ima make it through theese 12 hrslol. Gotta hide the car.","I'm hiding in the Grand Canyon, fuck it. I'm going to make it through these twelve hours.I'm laughing. I have to hide the car"
80,0.9454,I try to let u pussy niggas eat its time to putu pussy boys to sleep,"I tried to feed you boys, now it's time foryou boys to go to be"
1528,0.9452,naw bra she came at me like she always do and i shut her fat kneck ass down u goelearn bitch 2 respoect people,"No, man, she came at me like she always does, and I shut her fat neck ass down. You have to learn, bitch, to respect people"
1853,0.9447,I just look like this don't get it twisted I will fuck youup and leave you stankin.,"I just look like this. Don't mistake me, I will hurt youand leave you for dead."
1667,0.9444,"S/O to all my male friends and cousins who never sugar coated shit,always kept it so real!",Shout-out to all of my male friends and cousins who have never sugar-coated shit. They always kept it so real
1165,0.9442,"AND SOME OF THA MOST UGLIEST BITCHES/NIGGAZ I EVA SAW IN MAH LIFE WAS LIGHT SKINNED.SO STFU WIT ALL DAT ""DARKSKINNED PPL IS UGLY"" SHIT.","Some of the most ugly bitches or guys I have ever seen in my life were light skinned. So shut the fuck up with all that \""darkskinned people are ugly\"" shit"
2011,0.9441,"Back on My twitter BullShit. I don't even really mess withsocial media. Im working, daily.",I'm back to bullshitting on Twitter. I don't usesocial media much. I'm working daily
1704,0.9420,If dis rachet hoe dnt txt me bck>> ima walk to haa housend slap haa ugly ass!,rachel has been ignoring the texts. I am going to confront her. I will put her in her place
1105,0.9418,Man it's hot as shit out here!! I see why I normally be sitting in my car and I'm 1house away fr bus stop!!,"Man, it's hot as shit out here! I see why I normally sit in my car when I'm onehouse away from the bus stop"
1508,0.9416,Deng has 5 Fouls so its a wrap for him... Boozer too.. But thatdamn nigga Butler killing us,"Deng has five fouls, so it's over for him... Boozer too. But thatdamn guy Butler is killing us"
1256,0.9411,I am not about to let the past repeat itself..... ugh the ShitI have to go through...,"I am not going to let the past repeat itself... ugh, the stuff I have to go through.."
1595,0.9400,"everytime u don't get your way don't call u, u ain't a real friend!""Oh I'm not whore ok""","Anytime you don't get your way, I shouldn't call you? You aren't a real friend. I'm not a whore, alright"
576,0.9399,"Donte biggy smalls Chian faith Evans and I'm lil Kim ""Lil Kim got betta pussy","Donte, Biggy Smalls, Chian, Faith Evans and me are the same.Lil Kim is better than that"
506,0.9395,If you really love me an cared about me you would have stayed by my side not turn your back on me ansay false shit about me,"If you really love me and cared about me, you would have stayed  by my side, not turned your back on me and said lies about me"
850,0.9394,"Yo, I cant believe this chick really just acted crazy like that. And came upwit some false bogus shit....",I can't believe this girl acted crazy like she did. And came upwith some false rumors
1380,0.9390,After i heard that booty bandit shit in facebook i feelin love wit his voice,"After I heard that booty bandit shit on Facebook, I fellin love with his voice"
114,0.9388,Females be get they self into street shit but wen somebody put pressure on theyass they tell the police,Women get into trouble in on the streets and when someone pressures themthey tell the police
1270,0.9385,"Leave me the f**ck alone thats what you better do..funerals stay on schedule.. I don't even care about thecharges ,if they ain't federal!",Leave me the f*ck alone. That’s what you better do..funerals stay on schedule.. I don't even care about thecharges if they’re not federal!
53,0.9379,I walked up to sum nigga disrespectin a female.I told him I might be a Virgin but I kno a pussy wen I see one...#fukkyhu hittin a lady for,"I walked up to this guy disrespecting a female. I told him I may be a virgin, but I know a pussy when I see one. Why the fuckare you hitting a lady"
1328,0.9372,Man I remember my homeboy burst in an abandon house whensome crack heads were fucking.....,"Man, I remember my friend infiltrated an abandoned house whensome drug addicts were having se"
1927,0.9353,First thing a person say in a relationship bae we no matter what ! 3 months later they gonafter 1 argument tf bitch,"First thing a person says in a relationship, \""Bae, we, no matter what!\"" Three months later they are goneafter one argument. What the fuck, bitch."
741,0.9348,"These bitches love Sosa. Man, who the fuck is Sosa??? And what is a cobra? Is thatthe same as a choppa?",The women love sosa.  Who is sosa? What is a cobra ? Is that The same as a gun
238,0.9337,Sprint users for the iPhone in Chicago I'm not even a sprint user but they pissing me off damn dropped calls inthe middle of great convoy,"Spring users for the iPhone in Chicago, I'm not even a Sprint user, but they are angering me with damn dropped calls inthe middle of great conversations."
878,0.9325,tHIS BITCH REALLY WANT FAME OFFF MY MAIN NAME AINT NO MONEY IN THAT laughat your down ass REBLOCKED,"His bitch really wants fame off my main name, not any money in that, laughat your down ass. Reblocked"
1672,0.9323,"-Chillin In The Dark Like A Real Nigga.!""naw that's some penitentiary shit gettinraped real nigga shit lmfao",Sitting in the dark like a real man. Now that's some jail type talkand like real talk.
1716,0.9317,My mom is in Miami getting ready to go on a cruise while I'm in hsv in theclassroom on a damn Saturday,My mom is in Miami getting ready to go on a cruise while I'm in HSV in theclassroom on a damn Saturday
643,0.9317,"Omg without makeup Yall bitches are beasts,even so Yall goes look like Homer Da Clown! Fuckin return of Daliving dead Kmsl ..just saying*","Oh my gosh, without makeup, all of you bitches are beasts. Even so, you all look like Homer da Clown! Fucking return of the living dead. I am killing myself laughing, I am just saying"
1064,0.9315,If another person say I look like Ceaser from Black Ink immasmack the shit outta them,"If another person says I look like Ceaser from \""Black Ink\"" Im going tosmack the shit out of them"
761,0.9314,"remember Mer soccer game "" yea I used to be mad ass shit outthere ya was too wild","\""Remember Mer soccer game?\"" Yeah, I used to be mad as shit outthere. You were too wild"
1697,0.9311,we'll u should have came to the beat person for the job...... Me but I see udon't fuck wit me nomore,"We'l you should've came to the best person for the job, which happens to be me but I understandyou don't deal with me anymore."
394,0.9307,In aver had a girl do that to me cause the kind nigga that I'm ambutI wish a bitch would,I have never had someone do that to me because I don't spend time with people like that. No one would ever try that with me
1743,0.9307,If we say two forms of ID why the fuck wouldyou come with just one...,"If we say to bring two forms of ID with you, why wouldyou bring just one with you"
231,0.9304,If this lol boy watch another mothafucckin WWE fight on my computer ...Imma body slam his ass,"If this little boy watches another motherfucking WWE fight on my computer, I'm going to body slam his ass."
1088,0.9294,All I see on ig is pictures with quotes talkin bout niggas this niggas dat I'mbout done with that shit,"All I see on Instagram, is pictures with quotes talking about; \""People this, people that\"". I'mabout done with that shit"
1751,0.9285,Dnt cum my way fa nth Dnt hit my line fa nth fony ass fuckniggas u niggas is nth,"Do not come my way for nothing. Do not hit my line for nothing, phone ass fuckblack guys, you black guys are nothing."
247,0.9284,"i just might the next female i have in bed lol"" that was sooo wrong!I would sue his ass",I just might do this to the next female I have in bed. It's funny. That was so wrong! I would sue him.
832,0.9279,"when guys say dumb shit to get attention on Twitter, can we just callit a ? Yay? Nay?","When men say incompetent things in order to receive attention on twitter, can we just label it as a \""?\"" Yes? No"
1431,0.9274,HAPPY 4TH OF JULY TO YOU AND THE FAMILY TEAMERICA STAND THE FUCKUP KEEP. DOING. YOU BOO,"Happy Fourth of July to you and the family, Team America. Stand the fuckup. Keep being yourself, brother"
1671,0.9273,Can I just get a blow job fr the crack ofmy hairy ass kmsl Jp,"Can I just get a blow job? For real, the crack of my hairy ass, killing myself laughing, just playing"
1094,0.9267,I need to go wash I don't have a clue of what I'm putting on omfg I have too many damn clothes & always sayingI don't have any lies,"I need to go wash, I don't have a clue of what I'm putting on. Oh my fucking god, I have too many damn clothes, and always sayingI don't have any lies"
332,0.9267,Niggaz aint gone be satisfied till they get the package....all that ass u was foaming at the mouth overgonna cost u your life,They will not be satisfied until they receive the package. It is not worth worrying about.It is going to cost you your life.
1959,0.9248,Man i cnt take this ish tryna love someone who dnt een care bout cha n who dnt love ya bk n playing round wiffme man kick damn rocks,"Man, I can't take this shit. Trying to love someone who doesn't even care about you, and who doesn't love you back, and is playing around withme. Man, kicking the damn rocks"
483,0.9247,The bitching I did 2 my bank to get 20 bucks put back into my accountwas petty as fuck lol,I had to complain to my bank a lot to get my $20 back.They were being really difficult
1608,0.9243,I'm ready for football season!!! The NBA is full of pussies who cry about everything ohh my how the gamehas changed over the years,I am ready for football season! The National Basketball Association is full of cowards who cry about everything. Oh my! How the gamehas changed over the years
603,0.9215,"wtf yo, i just fucked my leg up in a bus accident.. stupid assdriver ""sue them niggas bro",I can't believe how badly my leg is hurt from a bus accident.You should sue the driver
672,0.9214,"ion trust naan bitch round my man she gotta be his sister cuzn mama or aunt cuz Idon't mind being rude !""","I don’t trust any bitch around my man. She’s gotta be his sister, cousin, mama, or aunt, because Idon’t mind being rude!"
1203,0.9214,"Bitches be claiming they holding they nigga down but while he not around fucking anythingin sight we see y'all""","Women are claiming they are keeping thier boyfriend, but while he is not present, they are having sex with anythingin sight. We see you all"
1417,0.9203,Mann ppl still in they feelings like damn how long ago was that again. Lhh buti aint trippin they lose,"Man, people are still in their feelings like damn, how long ago was that again? I’m laughing hella hard. ButI’m not tripping. They lose."
496,0.9198,"The fucked up thing about religion is that it is based on interpretation, and people's intentionsare often biased & questionable.",The fucked up thing about religion is that it is based on interpretation and people's intentionsare often biased and questionable. 
461,0.9197,"THERE IS NO FUCKING WAY ""AsL"" mean ""As Hell"" I refuseto think this is right!","There is no fucking way \""AsL\"" means \""As Hell.\"" I refuseto think this is right"
1093,0.9178,I'm already knowing when I talk to him he got somewords for my little ass,I already know when I talk to him he will have somewords for me
215,0.9175,"I don't even wanna give her hell her jokes too lite"" your jokeslighhhhhht DICKHEAD no neck ass","I don't even want to give her hell. Her jokes are too silly. Your jokes are not funny. Dickhead, no neck ass."
626,0.9170,That LITTLE UGLY GIRL HOTT IMA LET HER THINK SHE DID SOMETHING SHE ANIT DO SHIT HER MAN BEGGIN ME TO STOP SO ILLDO ..I GUESS SHE SICK,"That little, ugly, girl is hot. I am going to let her think she did something that she is not doing. Shit, her man is begging me to stop so I will.I guess she is sick."
625,0.9166,Niggas out here crack me up when they wit there chick! They try to let u know that they 2gether by grabin thereass & shit like that!,Boys out here crack me up when they are with their girl! They try to let you know that they are together by grabbing theirass and shit like that
616,0.9148,Jameis Winston is the man on Florida St campus. I highly doubt he has to rape any bitch. That white bitch want money2 pay off student loans,Jameis Winston is the big man on campus at Florida State.  I highly doubt he has to rape any woman.  That white girl wants moneyto pay of student loans
1940,0.9135,But He Got One Moe Time To Hit Me Wit That JacketAnd Ima Beat His Ass,But he has one more chance to hit me with that jacketand I'm going to beat his ass
1125,0.9133,If anyone need a good furance installer for LOW fuck with me uknow I got it (info),If anyone is looking for a good furnace installer for a cheap price let me know.I have contact info for someone
894,0.9132,aint really got shit to do i was only sliding if this nigga docwas going to this meeting,"I don't really have much going on, I was only going to go if this dude's doctorwas going to this meeting"
1898,0.9130,"Getting your ass ate feels so violating I could never look at him the same again"" have aseat under the bed bih","Having your ass eaten is such a violation. I could never look at him the same way again. Have a seat under the bed, bitch"
1676,0.9125,"That nigga don't do shxt for you, but when he downtalkin a bitch you satisfied.","That man doesn’t do anything for you, but when he talks down to a woman, you’re satisfied"
992,0.9124,"no diss to the good bruhz Josh either, but he came in a whole year before and didn't get shit to pop..wehad the city on fire.","No diss to the good brother Josh either, but he came in a whole year before and didn't get shit to pop...We had the city on fire"
881,0.9123,"""when my daddy went to jail aint none of his boys came around or helped me out when i was down soits fuck them niggas now""","When my daddy went to jail, none of his friends came around or helped me out when I was struggling. Soit's fuck those guys now"
1694,0.9118,Man fuck dat hoe man my nigga n dem had dathoe n the Bryan Frazier,"Man, fuck that hoe. Man, my brother and them had thathow, and then Bryan Frazier"
1874,0.9114,Lets talk about how I went pee this morning and my damn bonnet fell in thetoilet. Pissed. Literally and figuratively,Let me tell you about how I went to urinate this morning and my hat fell into thetoilet. I am pissed. In more ways than one
784,0.9113,"lol mane nun trippin of theze hoez OG she said she'll fuck my nigga to mak me mad, dats wat i wnther dumass to do anyway","Laughing out loud, the main one of these whores is tripping. Original gangster, she said she'll fuck my black person to make me mad. That's what I wanther dumb ass to do anyway"
1717,0.9112,Heat fans have NO room to talk about flopping unless you talking aboutthat bitch in the jersey,Heat fans have NO room to talk about flopping unless you are talking aboutthat bitch in the jersey
1613,0.9112,"When Your Ex likes Your Pics On Instagram >>>>>>>>>>>> I Be Like YeeeeeaaahhhhhhhBitch, You Want Me Back",When your ex likes your pictures on instagram. I thinkyou want me back.
1330,0.9108,People claim they want to work and need jobs but dont take the job when youcall them. So fuckin stupid,"People claim that they want to work, and they need jobs, but don't take the job when youcall them, it's stupid"
1675,0.9105,I thought I was thirsty toward these bitches... But these bitches bethirsty for these players smfh,I thought I wanted these women but they want all the men. It's unbelievable.
664,0.9096,Why Do Hood Barbers cut the best but neva on time? Its like they KNOW u notgonna fuck with anyone else...,Why do neighborhood barbers always give you the best hair cut but are never on time.  It's like they know that you're notlikely to go anywhere else.
1389,0.9096,It's crazy niggss I was fucking when I was broke say I'm acting funnynow...we all gone eat b,It's crazy black people that I was sleeping with when I had no money that say I'm acting funnynow. We're all going to eat b
1590,0.9086,"fck u 50 , u a old head goin to matinee "" this the best time! No lines and peace","Fuck you, 50, you're an old person going to a matinee. This is the best time!There are no lines and it's peaceful"
906,0.9084,Ain't forgot about my dawg just been sick as fuck and youknow how niggas be bullshittin,I haven't forgotten about you. I have just been sick as fuck and youknow how people are
466,0.9070,"Why the fuck is Senai bday tomar? My bed is the only thing I need right now""hedont believe in bdays lls",Why does her birthday have to be tomorrow? All I need right now is my bed.I don't believe in birthdays
1698,0.9070,My grandma told Eric he can spend da night knowing I was mad at his ass.......... Now I done slipped upn let him dtmf lbvvvvvvs,"My grandma told Eric he can spend the night knowing I am mad at his ass. Now, I gone and slipped upand let him dump the motherfucker. Laughing, but very serious."
1260,0.9062,"and lame as fuck! Except Leroy, u can tell he a real nigga,even CT wants no problems","...and lame as fuck, except for Leroy, you can tell that he is a tough,even CT doesn't want any problems"
75,0.9046,He must not know I don't do the bitch word homie..that word causes for a coupleof teeth to go missing..,"He must not know that I don't like the bitch word, \""homie\"". That word cause a coupleof teeth to go missing"
1553,0.9045,Mogs keep asking me where my people are from..I say america and there like no before they came there..Damnit I dunno specifically where,"People keep asking me where my ancestors are from and I say America. They're like \"" No before they came here\"". Damn it. I don't know specifically."
1143,0.9040,So u gone tell me by me bring a gentlemen and the man my motha raised me 2I payed for the pussy?,"So you're going to tell me that by being a gentleman and the man my mother raised me to be,I paid for the pussy"
1956,0.9026,"let me take my ass to checkers then go home I'mschleepy""bring me a big Buford","Let me take my ass to Checkers, then go home. I'msleepy.\"" Bring me a Big Buford"
694,0.9021,"This btch stupid af on this movie , I wanna jump through the screen& smack her ass -_-",This bitch is stupid as fuck in this movie. I want to jump through the screenand smack her ass
695,0.9014,"Lil Buddy looking for Connects..I aint got any for him...all I got is same ole ""work hard as shit over time and ifthey don't pay ya BOUNCE""","My little buddy is looking for connects but I don’t have any for him. All I have is the same old “work as hard as shit over time and if they don’t pay you, bounce.”"
176,0.9009,Just found out that my auntie BBQ and my fat ass just ate. I'm headed togo get me a rib,I just found out that my auntie is barbecuing and my fat ass just ate. I'm headed to go get a rib.
235,0.9006,If your girlfriend friends dont like u .u can hang it up b c theygon lie on yo ass,"If your girlfriend's friends don't like you, you can quit because theyare going to lie about your ass."
519,0.9002,Idk why her lil ass think she so big and bad.. But I'll cut youback down to size baby,I don't know why her little self thinks she's so big and bad.  But I'll bring you back back down to reality baby
223,0.8993,Cats be like son my first time I ha an orgy with like 10 bitches and they all came 3 times and I ain't evencome I swear to everything,"People are like, son, my first time I had an orgy with like ten women and they all came three times and I didn't even come. I swear."
688,0.8992,I'll try tomorrow. This flu has been kicking my ass for a week now.I need a nurse! Lol!,I'll try tomorrow. This flu has been kicking my ass for a week now.I need a nurse! I'm laughing
128,0.8988,"Ladies, the older you are in the ""game"" the more Bullshit urgonna have to sift thru...","Ladies, the older you are in life the more things you aregoing to have to sift through"
1199,0.8979,A lot of the old school rappers are straight assholes. I would say names but why should I givethem any shine???? Fuckin idiots!!,"A lot of the rappers from the past are basically unsavory. I would mention names, but why should I givethem any notoriety? They are foolish"
48,0.8978,Cause a) frank writes passionate songs about men and b) breezy talked a lot of shit in that twitter rantabout odd future he deleted,"The first cause is that Frank writes passionate songs about men and the second cause is that Breezy talked badly in his Twitter rantabout Odd Future, but he deleted it"
1687,0.8978,Pls tell y'all friend her braids looked fuck'd up... Keep wanting to twist them bigshits up in a bun,Please tell your friend that her braids look fucked up. I keep wanting to twist those bigthings up into a bun
867,0.8977,Oh and s/o to whatever damn sigma that was outside my window yelling and woke me up out of me sleep but its yo dayso be out my nigga,"Oh, and shout-out to whichever damn Sigma that was outside my window yelling and woke me up out of my sleep, but it's your day   so go out, my black person"
