line_index,categories,aave_text,sae_text
1212,S1,THIS herd 2 kids was living that yolo life at electric zoo. yall betterdo like bran nubian and,"This post. I heard there were 2 kids living that \""you only live once\"" life at \""Electric Zoo\"". You all betteract like Bran Nubian and"
1220,S10,Lmao bears fans harassed tony d on twitter like nigga getyour mind right and believe,"That's funny; Bears fans harassed Tony D on Twitter, saying, \""Man, get\""your thoughts in order and believe.\"
1251,S5,Miley Cyrus is campaigning for that black card and that line from Jay wasa boost to her ego.,"Miley Cyrus is campaigning for that black card, and that line from Jay wasa boost to her ego"
1253,S10,I hate when my nigga spend the night I'm always no sleep game dating fatniggas Tuh damn stop snoring,"I hate when my friends spend the night- I'm prefer having no sleep, dating fatpeople that don't ever damn stop snoring"
1255,S10,"If Zimmerman walks, black people will be mad 2 days then will forget all about it.Fake ass civil rights activist","If Zimmerman walks, black people will be mad for two days then forget all about it.Fake civil rights activists"
1258,S4,"Then they want u to b committed""same thing with these young boys thoughbut they lie about it","Then they want you to be committed, the same thing with the children, thoughthey lie about it"
1260,S10,"and lame as fuck! Except Leroy, u can tell he a real nigga,even CT wants no problems","...and lame as fuck, except for Leroy, you can tell that he is a tough,even CT doesn't want any problems"
1277,S10,How You Got A Nigga Wit A Wheel But Ya Ass On The Broad Street Line Ya Pussy Must Not Be ThatGood For A Car Ride,"How do you have a man with a car but you are still on broad street, you must not be good enough for a car ride"
1281,S10,Like ya don't understand no matter how much bs we go through thismy straight nigga 4real 4real,Most people will never know how much turmoil my friend and i go throughmy straight n word for real for rea
1289,S1,If u gone be my ole lady we RIDE R DIE them hoes cross you illl jump off anhit one in the eye.,"If you are going to be my girlfriend then you should know, I always have your back! If a girl bothers you i will step up andput them in their place"
1314,S5,What's up with this Mia girl? Is she a crack head? I need for them to revealthat on the show ASAP,What is up with Mia? Is she an idiot? I need to learnthat on the show as soon as possible
1316,S10,Fuk wit me wrong take me out my zone n ill nock the mutha fukin snow off of yo cone my niggas man itstank in this bitch mus,"If you fuck with me wrong, and take me out of my zone, I'll knock the motherfucking snow off of your cone, my pals. Man, itstinks in this bitch"
1318,S12,"Lmao I'm on a drought so the next nigga that I have sex with, WE GO TOGETHER cause I ain'tWith the drought life ""","Laughing my ass off. I'm in a drought, so the next black person I have sex with will become monogamous with me because I'm notin agreement with with a drought-style life"
1335,S3,"If u love a girl just get her pregnant. She might not stop being a Hoe but at least she'llhave to text u back""",If you love a woman just get her pregnant.  She might not stop having sex with other guys but at least she willhave to text you back
1344,S10,At the end of the day a niggah will be a niggah and if you play with me i will show thats something you should know atthe end of the day,"At the end of the day a guy will be a guy and if you bother me, I'll let you know about it atthe end of the day"
1349,S10,"Blacks will trade drake to the whites if white girls stop saying yolo.Whites reply H.Y.F.R"" so wrong","Black people will trade Drake to white people if it would make white girls stop saying \""yolo\"".White people replying \""H.Y.F.R\"" is so wrong"
1351,S10,Lmfao I know the crowd like nigga please PLEASE don't stage dives/o to the remix !,"I know the crowd, dude please PLEASE don't stage diveto the remix"
1357,S8,lol ugh yea for free... Nobody payed for that album yet ...links were posted that night and flexplayed it a min before,Yes for free... Nobody has payed for that album yet ...links (to the album) were posted that nightplayed it shortly befor
1372,S10,Dorian a true nigga... He been homeless twice (aka sleeping on his girlcouch) and got two girlfriends,"Dorian is a true African American. He’s been homeless twice, sleeping on his girlfriend’s couch, and has two girlfriends."
1374,S2,I got my fit for Toma u can catch me on the beach man with agallon of 1800 real tlk,"I have my outfit for tomorrow. You can catch me on the beach, man, without aconcern for hurting anyone's feelings"
1389,S10,It's crazy niggss I was fucking when I was broke say I'm acting funnynow...we all gone eat b,It's crazy black people that I was sleeping with when I had no money that say I'm acting funnynow. We're all going to eat b
1411,S10,I never wanna go back out there to many fake tough niggas I fuck around n try to rob everybody lmao.I be outta town die,I never want to go back out there. Too many dishonest people I mess around with and try to rob everybody. That's hilarious.I'm out of town
1425,S10,MASS APPEAL GO HARD DAT SHIT GO DUMB! DATS WAT THE FUCK I'M TAMBOUT CASS KEEP SPAZZIN ON D'S GOOFAS FUCK NIGGAS ECSP WK-MZ,"Mass appeal, be aggressive! That situation is stupid. That's what the fuck I'm talking about. Cass keeps overreacting to D's mistake so much, black people, especially WK-MZ"
1448,S10,she ain't eem fooling with black men tho so we wouldn't even haveto worry about that lol,She is not even fooling around with black guys though so we would not even have to worry about that laugh out loud
1460,S10,It's no fuckin way I'd be driving a 06 range rover WITH PAYMENTS just to say I gottarange rover. Nigga are stupid,There is no way I would drive a 2006 Range Rover with payments just to be able to say that I have aRange Rover. That's stupid
1480,S2,If u seen what i seen u would sell drugs to if the shoe was on the other foothow could I judge u,"If you’d seen what I’ve seen you would sell drugs too. If the shoe was on the other foot, how could I judge you?"
1484,S8,pls save all comment til end of book...pls and thanks...den alley oopbook 2 ya Prophtyes lmao,"Please save all comments until the end of the book. Please and thank you. Then, send The book to your Prophytes. That's funny, I'm laughing"
1493,S10,Gmfu think I going to wash them dishes hell now got other kids and its noteven my go nigros trippy,They got me fucked up if they think I'm going to wash those dishes. Hell no. They got other kids and it's noteven my turn. People are crazy
1499,S12,He know how to turn me all the way on Lhh kissing nd bitting on my neck nd feelingmeh & ^_^||,He knows how to turn me all the way on. I love how kissing and biting on my neck and feelingme and cat
1508,S10,Deng has 5 Fouls so its a wrap for him... Boozer too.. But thatdamn nigga Butler killing us,"Deng has five fouls, so it's over for him... Boozer too. But thatdamn guy Butler is killing us"
1528,S10,naw bra she came at me like she always do and i shut her fat kneck ass down u goelearn bitch 2 respoect people,"No, man, she came at me like she always does, and I shut her fat neck ass down. You have to learn, bitch, to respect people"
1543,S1,"I aint gone lie,sumtimes im scard of being myself bt wanna kill those who make me feel dat way though its my fault btcant help who I am","I not going to lie, sometimes I am scared of being myself but I want to kill those who make me feel that way though it is my fault butI can't help who I am"
1547,S10,"if yo lady got one, you prolly need to add to your game. Vibrators and dildosshould damage a niggas ego.","If your girlfriend has one, you should get better at sex. Vibrators and dildos should be embarrassing to you. You should be embarrassed."
1564,S12,"Lmaoooo ,nawl hoe ,yeen smackin shit ,only one touchin my ass is KENDRAVIUS , && hoemy ass aint sloppy neither","Laughing my ass off, no, whore, you're talking shit. The only one touching my ass is Kendravius and, whore,my ass isn't sloppy either"
1565,S10,"Is it wrong for females to use a nigga for pleasure ,??? I mean niggasuse females all the time","Is it wrong for women to use a man for pleasure? I mean, menuse women all the tim"
1598,S10,Pop pussy baby show them niggAHs you ain't scared in here. Shake them titties baby shoe then niggayou ain't scared in here,Girl is showing off her goods with no fear. Dont be afraid.
1605,S1,"Smh Pull, pull pull yo track pull them out your hair she gonna scream tillthey all fall down everywear","Shaking my head. Pull, pull, pull your track. Pull them out of your hair. She is going to scream untilthey all fall down everywhere."
1620,S10,I hate dis clown ass nigga mane I don't believe shythe say smh lol rs,I hate this clown-ass black man. I do not believe shithe says. Shaking my head. Laughing out loud. Real shit.
1630,S10,I'm being true. I was expecting word dat Rose been killing niggaz bynow...nothing in the circuit. Nada!,I'm going to be true. I was expecting word of that Rose person killing brothers bynow... Yet I've heard nothing. Nothing
1632,S8,"naw, i think i used the video the publisher had on website...its not dat hard...but denagain imma Techie 2 so....","No, I think I used the video the publisher had on the website. It's not that hard. But thenagain, I'm technically proficient, too, so.."
1637,S4,that's how I felt about my baby bros...18 and 16 and they was my shadows and I changed they stinkydiapers. Both on twitter now,"That's how I felt about my younger brothers, who are 18 and 16. They were my shadows, and I changed their stinkydiapers. They are both on Twitter now."
1665,S10,"Bitches ain't shit! Females want a loyal dude but can't evenbe loyal to their friends""",Women aren't worth anything! Females want a loyal man but can't evenbe loyal to their friends
1671,S12,Can I just get a blow job fr the crack ofmy hairy ass kmsl Jp,"Can I just get a blow job? For real, the crack of my hairy ass, killing myself laughing, just playing"
1672,S10,"-Chillin In The Dark Like A Real Nigga.!""naw that's some penitentiary shit gettinraped real nigga shit lmfao",Sitting in the dark like a real man. Now that's some jail type talkand like real talk.
1673,S10,If a bitch go to food stamp building and the security guard signsher in.. She's a whore,"If a bitch goes to the food stamp building, and the security guard signsher in... She's a whore"
1674,S10,"Light skin niggas upset everywhere about this new Instagram shyt""them niggasglad in the low lmao","Light-skinned black people everywhere are upset about this new Instagram shit. Those black peopleare happy with the secret, and I'm laughing my ass off"
1676,S10,"That nigga don't do shxt for you, but when he downtalkin a bitch you satisfied.","That man doesn’t do anything for you, but when he talks down to a woman, you’re satisfied"
1692,S2,Saw one of those son of a guns in a yard on my way hometoday. Right near stole him.,I saw one of those son of a guns in a yard on my way hometoday. I right near stole him.
1694,S1,Man fuck dat hoe man my nigga n dem had dathoe n the Bryan Frazier,"Man, fuck that hoe. Man, my brother and them had thathow, and then Bryan Frazier"
1695,S2,Think about wat my life could b that's when I pourup n light this weed,"Think about what my life could be, that's when I poura drink and smoke this marijuana"
1704,S1,If dis rachet hoe dnt txt me bck>> ima walk to haa housend slap haa ugly ass!,rachel has been ignoring the texts. I am going to confront her. I will put her in her place
1725,S1,I Seen It Wit My Own Eyes. Shit Was Real MyNicca Str8 Kilt Her !,I saw it with my own eyes. Shit was real myn-word. He killed her
1736,S6,dont try this at home kids ...okay i will try itat my friends house then...,"Don't try this at home kids... Okay, I will try itat my friend's house then.."
1740,S10,R U TIRED OF HITIN THE BEAUTY SUPPLY AND COPPIN THAT BLACK NO.1! IS YOUR WIG BUSTED DISCUSTED FRYD DYED LEANIN2 DA SIDE HIT UP,"Are you tired of hitting the beauty supplies and copying that black number one? Is your wig busted, disgusted, fried, dyed, and leaningto the side? Hit me up."
1751,S10,Dnt cum my way fa nth Dnt hit my line fa nth fony ass fuckniggas u niggas is nth,"Do not come my way for nothing. Do not hit my line for nothing, phone ass fuckblack guys, you black guys are nothing."
1778,S11,like i got alot of back& front thoo....he b wantin ah bitchdat look anorexic n ish,"I have a lot of weight on the back and front of my body, but he wants a bitchthat looks like she's anorexic and shit"
1786,S2,That boy we try to get him some drugs any kind of way! SMH!!!!!! He don't carewhat person he will use!,This guy is an addict.He will use anyone.
1793,S10,"Dante can't talk I seen that video with that black fastsweaty girl. "" lmfaoooooo dooooog.","Dante can't talk. I've seen that video with the fast and sweaty black girl.\"" I'm laughing my fucking ass off, dog"
1795,S10,"u already . Its da truth."" Already sis niggas anit sliding witt us thenthe clip riden on em","You already. It's the truth.\"" Already black females aren't going with us, thenthe clip is riding on them"
1813,S4,… The Mfers I Fucked w/ In My Grammar && Middle School Daysx I Don't Even Fuck w/ Now . Mfers Den Changed ! ButFuck Em I'm Makin $$$,"The people that I hung out in high school and middle school days, I don't even talk to now. They changed. But they don't matter, I'm making money."
1827,S1,let me throw a basketball and a stick at yo headand see if cry !,Permit me to throw a basketball and a stick at your headand see if I weep
1844,S2,"My Mama Finna Go To My Grandma House, And Miesha Finna ComeOver And We Finna Smoke","My mom is getting ready to go to my grandma's house, and Miesha is getting ready to come over. We're going to smoke."
1848,S10,now u see how a Nigga be feel in !?! But don't say fuckmee I been here woop,Here is how I feel. Everyone has been there.
1853,S1,I just look like this don't get it twisted I will fuck youup and leave you stankin.,"I just look like this. Don't mistake me, I will hurt youand leave you for dead."
1860,S10,Light skin chics spoiled because y’all dudes wanna eat them out and not hit nowshe think she the shyt,Light-skinned women are spoiled because all of you men want to perform oral sex on them and not have intercourse. Nowthey think they're the best
1894,S10,A nigga rather be with the hoe than to be with the female who heldthem down...I don't get it,A black man rather be with the hoe than to be with the female who heldthem down. I do not get it.
1898,S12,"Getting your ass ate feels so violating I could never look at him the same again"" have aseat under the bed bih","Having your ass eaten is such a violation. I could never look at him the same way again. Have a seat under the bed, bitch"
1899,S10,"If a nigga don't like me he hating.."" Naw maybe theyjust don't like ya ass","\""If someone doesn't like me, they're hating.\"" No, maybe theyjust don't like you"
1907,S10,nigga was overrated at QB. And the other niggas out shinned him in scrimmage. He played in hstho. He should be good,"The black person was overrated as a quarterback. And the other black people outshone him in scrimmage. He played in high school,though. He should be good"
1912,S2,Ok yall we got a NNBT in full affect ~Nukka Needing Bus Tickets~ if you know or suspect someone of knowing who gotsome Get at yo dude,The writer needs transport and tickets to a busplease share
1932,S11,", BROKE hoes will never get it TRYING to argue w / Me over a DICK catch your LIFE beforeit falls out the WINDOW",Broke women will never get anywhere trying to argue with me over a man. Catch your life beforeit falls out the window
1939,S10,I love her to death but she still a hoe and I'm still a nigga soyou know how that go,I really do like her but she is what she is and I am still a man. I will take my shot with her.
1940,S1,But He Got One Moe Time To Hit Me Wit That JacketAnd Ima Beat His Ass,But he has one more chance to hit me with that jacketand I'm going to beat his ass
1943,S10,"Niggas be like ""Babe, I can give you the world. She be like ""Give me your phoneHe be like ""Holdup uhhhh....","Dudes say, \""Babe, I can you the world.\"" And then she says, \""Give me your phone.\""Then he says, \""Wait a minute, uh...\"
1954,S7,"llssss fuck he at""son he came out the creases and and was geekin askin 21questions for ur address lmfao",Please fuck. He is at someone he came out the creases and was geeking. Asking 21questions for your address. Laughing my fucking ass off
1961,S11,Man fuk it ion get her at all like wtf disjunk burn me up man,"Man fuck it, I don't get her at all, like what the fuck is thisstuff, it makes me angry, man"
1963,S11,First day of school imma bless my lungs then imma be friends with my teachers soI can get good grades,On the first day of school I'm going to smoke. Then I'm going to be friends with my teachers sothat I can get good grades
1969,S10,Aye mogs out here still accepting badly built mulatto chicks cuzthey got good hair tho?,"Hey, guys are still out here accepting badly built mulatto-colored girls becausethey have good hair"
1972,S10,My TL is looking for trouble 2nite I see...u niggaz are the ppl my parents told me2 stay away from lol,"My true love is looking for trouble tonight, I see. You black men are the people my parents told meto stay away from. Laugh out loud."
1979,S10,"2 all the old niggaz going to they old yard to""help"" the freshmen move in...lol","To all the old dudes going to their old yard toto \""help\"" the freshmen move in... I'm laughing"
1989,S10,I totally get why niggaz give up and just play thesystem to barely survive...its EASY!,I totally get why black people give up and just play thesystem to barely survive. It's easy
1994,S10,it will take for the niggaz to be moved to burbsand whites regain the city.,What will it take for the black men to be moved to the suburbsand the whites to regain the city
1998,S1,There is a 6'2 325 Pound woman that works near my gig...I bald my fist upeverytime she walks past me.,There is a 6'2 woman that works near my job. I guard myself every time she walks past me.
1999,S12,"Regardless of its true or not shid thats my nigga ,if iwanna fckk him on a plane 3,000 ft in thaafckkin air imma do it","Regardless of whether it's true or not, shit, that's my man. If I want to fuck him on a plane 3,000 feet in thefucking air, I'm going to do it"
2002,S10,"All these hoes out here really think they snatchin, hoe yo pussy the onlything that these nigga smashing","All these whores in this location really believe they're stealing. Whore, your vagina is the onlything that these black people are having intercourse with"
2003,S10,"""If you cant control ya edges ...I already know you cantcontrol ya nigga"" "" dfl","\""If you can't control your hairline, I already know you can't control your man.\"" I'm dying from laughter"
2010,S10,"My friend a bad dike & she ain't even know it!!""who u subtweeting yo "" notu yo! The other Tarnetta","My friend is a bad dike, and she doesn't even know it!\"" Who are you subtweeting?\"" NotYou! The other Tarnetta"
2012,S10,Don't no why kendrick put this nigga sorry nigga Meek mill in the rappers henamed bra can't rap.... Cont,"I do not know why Kendrick put this black man, sorry black man, Meek Mill in the rappers. Henamed the bra and cannot rap. Cont"
2013,S10,"""Act right"" who say that wack sHit these niggas wack don't do my west coastmusic u lame motha fuckers","\""Act right\"" - who says that nonsense? These people are crazy. Don't do my West Coastmusic, you lame motherfuckers."
